1,545
1,781
1,299
1,935
1,773
1,571
1,600
2,250
2,035
1,348
2,305
1,182
1,395
2,143
1,877
1,242
1,951
1,626
1,953
1,491
2,026
2,047
2,143
1,585
1,250
1,142
1,518
1,083
1,749
1,505
1,622
2,032
1,351
1,443
1,171
1,905
1,150
1,913
1,296
1,283
1,196
1,593
1,778
1,755
1,804
1,539
2,330
1,897
0,942
1,658
1,514
1,186
1,377
1,339
1,283
1,759
1,337
1,299
1,960
1,215
1,166
2,039
1,692
1,366
0,978
1,633
1,104
1,681
1,800
1,310
1,534
1,098
1,464
0,906
1,856
1,099
1,299
1,342
1,323
1,327
1,065
1,456
1,359
1,489
1,890
1,369
1,380
1,327
1,847
1,223
1,351
1,198
1,282
1,054
1,266
1,293
