21,608696
19,692308
28,000000
32,666667
17,627907
18,000000
21,000000
16,833333
25,538462
16,733333
19,666667
17,315789
19,538462
24,375000
16,950000
22,904762
24,000000
19,016667
19,386364
16,200000
23,250000
22,200000
25,083333
16,950000
22,891304
25,312500
17,846154
19,581395
17,629630
20,263158
29,684211
17,833333
18,770833
23,500000
20,222222
21,500000
27,000000
18,235294
25,604651
16,521739
21,209302
22,785714
22,136364
35,250000
19,600000
21,266667
28,578947
21,333333
20,862069
32,714286
20,500000
20,928571
21,700000
19,400000
21,000000
17,241379
18,500000
22,500000
16,744186
20,695652
28,666667
18,153846
17,714286
20,038462
17,365854
16,826087
20,187500
22,700000
18,555556
20,481481
24,571429
22,588235
18,829268
16,756757
15,627119
21,066667
20,586207
27,714286
20,400000
20,629630
18,428571
19,181818
15,000000
20,500000
19,304348
23,250000
20,090909
17,413793
20,220000
22,967742
25,767442
17,500000
